stock,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
AA,16.595,17.0275,16.07541667,16.50791667,125054776.6,-0.473333333,4.03375,130897772.4,16.53291667,16.52208333,0.009583333,49.375,0.182916667
AXP,46.62083333,47.65041667,45.70125,46.81041667,34796249.92,0.440833333,2.15,35222255.17,46.79958333,47.06416667,0.578333333,43.54166667,0.385833333
BA,73.595,74.96583333,71.87833333,73.6175,23261558.04,0.060833333,3.572916667,23494174.96,73.67916667,73.7925,0.186666667,47.91666667,0.5725
BAC,13.1475,13.40333333,12.735,13.00166667,692564156.3,-1.1375,-0.144583333,727995013.2,12.99541667,12.82833333,-1.229166667,46.16666667,0.0775
CAT,103.4291667,105.97625,100.31375,103.5445833,34130916.42,0.188333333,6.578333333,33314793.04,103.7104167,104.1533333,0.513333333,48.79166667,0.434166667
CSCO,18.02541667,18.34208333,17.48833333,17.77125,360958075.6,-1.33375,16.96666667,355700385.4,17.77541667,17.54833333,-1.130833333,46.625,0.340416667
CVX,101.265,103.4166667,99.18166667,101.5916667,38705810.67,0.375833333,6.117916667,38411690.92,101.55625,102.0608333,0.55125,46.91666667,0.718333333
DD,52.8175,53.935,51.51375,53.00333333,29177403.29,0.402916667,4.990416667,28879940.08,52.96541667,53.19791667,0.48375,44.83333333,0.775
DIS,41.33833333,42.11708333,40.42541667,41.32458333,46382258.96,-0.006666667,6.859166667,47320097.17,41.28041667,41.3425,0.195833333,248.5416667,0.969583333
GE,19.89041667,20.285,19.42,19.84041667,263262727,-0.237083333,6.514583333,262603040.9,19.865,19.85625,-0.00625,54.70833333,0.710416667
HD,36.58875,37.34666667,35.98833333,36.65083333,47856222.54,0.210833333,6.97,47487890.88,36.625,36.68583333,0.202083333,44.29166667,0.682083333
HPQ,41.71666667,42.60791667,40.45416667,41.38833333,94643334.63,-0.77625,18.60458333,94528596.38,41.30791667,41.005,-0.6675,43,0.273333333
IBM,162.8270833,165.7625,160.7091667,163.73375,24791115.33,0.591666667,5.5125,24812294.38,163.6079167,164.75625,0.727916667,44.45833333,0.4475
INTC,21.42083333,22.1525,20.96333333,21.4675,295368366.2,0.265833333,2.555833333,298605373.3,21.44,21.52791667,0.45875,48.625,0.884583333
JNJ,62.4575,63.41875,61.71791667,62.62458333,55932412.13,0.282916667,3.465833333,55984064.08,62.57875,62.8225,0.399583333,44.45833333,0.8975
JPM,44.59666667,45.505,43.56125,44.53541667,147632397,-0.135416667,2.0275,150422328.8,44.43541667,44.39666667,-0.062916667,43.54166667,0.563333333
KO,65.2575,66.31625,64.47125,65.42666667,37670918.21,0.271666667,6.6475,38087400.5,65.34708333,65.63333333,0.45125,41.95833333,0.719583333
KRFT,32.40958333,32.96833333,31.60625,32.61458333,44809687.96,0.641666667,6.828333333,45026398.63,32.56375,32.78666667,0.687083333,42.83333333,0.891666667
MCD,77.12291667,78.34583333,76.31291667,77.39125,29932992.92,0.352083333,-0.192916667,32312049.42,77.42541667,77.87416667,0.574583333,41.83333333,0.789166667
MMM,91.72916667,93.38708333,90.30541667,91.92583333,15701017.46,0.241666667,5.99625,15744388,91.95333333,92.28291667,0.380833333,47.33333333,0.6
MRK,34.30041667,34.91625,33.7275,34.23583333,76941058.08,-0.143333333,5.105416667,77340943.54,34.18958333,34.29291667,0.315833333,41.95833333,1.1125
MSFT,25.96291667,26.6325,25.495,25.80916667,288075985.5,-0.56875,9.555833333,288885984.4,25.7975,25.71416667,-0.275416667,46.33333333,0.6225
PFE,19.8,20.24208333,19.50791667,19.88333333,220827884.4,0.465416667,6.313333333,226142765.7,19.87833333,19.98375,0.5725,48.79166667,1.007916667
PG,64.00333333,64.8325,62.72291667,63.98125,48500162.88,-0.025,3.81375,48470919.79,63.935,63.92875,0.0025,49.95833333,0.825416667
T,29.61,30.0575,29.11166667,29.65916667,131222853.5,0.177083333,4.945833333,132964123.6,29.69791667,29.79458333,0.333333333,37.20833333,1.4525
TRV,59.23625,60.23125,58.33458333,59.40291667,17038311.54,0.32125,5.016666667,16998755.92,59.39083333,59.58958333,0.37,45.25,0.66375
UTX,83.98833333,85.40791667,82.52416667,84.23958333,18423078.5,0.325416667,4.24375,18215687.83,84.2275,84.7,0.585833333,47.33333333,0.558333333
VZ,36.54,37.05666667,35.88041667,36.49208333,75737148.04,-0.115,2.866666667,78218932.79,36.51708333,36.58958333,0.2175,47.04166667,1.344166667
WMT,53.8575,54.73041667,53.13333333,53.90583333,55366860.92,0.094583333,5.388333333,54893053.79,53.80208333,53.85166667,0.099166667,42.08333333,0.68625
XOM,82.30166667,83.90708333,80.57583333,82.38333333,93354015.88,0.145416667,4.505416667,92648230.13,82.37458333,82.55708333,0.272916667,42.08333333,0.560833333
